# name version sha256(.gem)
i18n 1.15.2 00f9eb62412fe593b2a65a97daa75300d37abb8f7202ec748e94b6d46a9dd1b5
ice_nine 0.11.2 5d506a7d2723d5592dc121b9928e4931742730131f22a1a37649df1c1e2e63db
jbuilder 2.15.1 2430bec28fb0cebacb5875b1009cf9d8bc3c303ccb810c4c8b062a4b51457637
jwt 3.2.0 5419b1fe37b1da0982bd07051f573a8b8789ab724c2aa7e785e4784a3ed217d7
jmespath 1.6.2 238d774a58723d6c090494c8879b5e9918c19485f7e840f2c1c7532cf84ebcb1
kaminari-core 1.2.2 3bd26fec7370645af40ca73b9426a448d09b8a8ba7afa9ba3c3e0d39cdbb83ff
liquid 5.13.0 09d594fd96b98e19a8fd5c32aadcc6950df429b69f48c2f774c0db0ce272bf19
logger 1.7.0 196edec7cc44b66cfb40f9755ce11b392f21f7967696af15d274dde7edff0203
mail 2.9.1 06574eca475253d6c18145dd70af80d0eb970182d55053497c5f4d797ea160e8
marcel 1.2.1 1678e9360e32f9eafa917c80029e2f6d10b2715c66a4b87b6d0da9b9cd1f859f
mini_mime 1.1.5 8681b7e2e4215f2a159f9400b5816d85e9d8c6c6b491e96a12797e798f8bccef
minitest 6.0.6 153ea36d1d987a62942382b61075745042a2b3123b1cd48f4c3675af9cc7d6f1
money 7.0.2 615c27c1fd1d190dceda5c5f4dd5af5f4d20f790ff3b62ea2fe2d96eb22e2c60
method_source 1.1.0 181301c9c45b731b4769bc81e8860e72f9161ad7d66dd99103c9ab84f560f5c5
multi_xml 0.9.1 7ce766b59c17241ed62976caeae1fae9b2431b263398c35396239a68c4a64e57
mustermann 3.1.1 4c6170c7234d5499c345562ba7c7dfe73e1754286dcc1abb053064d66a127198
net-http 0.9.1 25ba0b67c63e89df626ed8fac771d0ad24ad151a858af2cc8e6a716ca4336996
net-imap 0.6.6 96aa4ee50df3060203e649efc341f53480b791d49e150f2fdebf68beb141a8df
net-pop 0.1.2 848b4e982013c15b2f0382792268763b748cce91c9e91e36b0f27ed26420dff3
net-protocol 0.2.2 aa73e0cba6a125369de9837b8d8ef82a61849360eba0521900e2c3713aa162a8
net-smtp 0.5.1 ed96a0af63c524fceb4b29b0d352195c30d82dd916a42f03c62a3a70e5b70736
omniauth 2.1.4 42a05b0496f0d22e1dd85d42aaf602f064e36bb47a6826a27ab55e5ba608763c
orm_adapter 0.5.0 aa5d0be5d540cbb46d3a93e88061f4ece6a25f6e97d6a47122beb84fe595e9b9
pagy 43.6.1 59fb6a58ea956480094a167b43a86796638ceb3a3917a25ae67973b584ace2eb
paper_trail 17.0.0 1c2842061d3874ca7015908e821e2aa14f9b982af2acb2a7974713bf79021c85
public_suffix 7.0.5 1a8bb08f1bbea19228d3bed6e5ed908d1cb4f7c2726d18bd9cadf60bc676f623
pry 0.16.0 d76c69065698ed1f85e717bd33d7942c38a50868f6b0673c636192b3d1b6054e
pundit 2.5.2 e374152baa24f90b630428293faf4b4c5468fc3cc010165f7d8fcb44ce108bbd
rack 3.2.6 5ed78e1f73b2e25679bec7d45ee2d4483cc4146eb1be0264fc4d94cb5ef212c2
rack-attack 6.8.0 f2499fdebf85bcc05573a22dff57d24305ac14ec2e4156cd3c28d47cafeeecf2
rack-cors 3.0.0 7b95be61db39606906b61b83bd7203fa802b0ceaaad8fcb2fef39e097bf53f68
rack-protection 4.2.1 cf6e2842df8c55f5e4d1a4be015e603e19e9bc3a7178bae58949ccbb58558bac
rack-session 2.1.2 595434f8c0c3473ae7d7ac56ecda6cc6dfd9d37c0b2b5255330aa1576967ffe8
rackup 2.3.1 6c79c26753778e90983761d677a48937ee3192b3ffef6bc963c0950f94688868
rack-test 2.2.0 005a36692c306ac0b4a9350355ee080fd09ddef1148a5f8b2ac636c720f5c463
rake 13.4.2 cb825b2bd5f1f8e91ca37bddb4b9aaf345551b4731da62949be002fa89283701
railties 8.1.2 1289ece76b4f7668fc46d07e55cc992b5b8751f2ad85548b7da351b8c59f8055
ransack 4.4.1 6aeaac36fc19088570e10da1044e6cfd88c740e20f871b84566fd30e32b7a63d
